
Predictions were generated on 24-Oct-2019 at 16:50:56 using OpenFAST, compiled as a 64-bit application using single precision at commit v2.1.0-184-g4231be2e-dirty
 linked with  NWTC Subroutine Library; ElastoDyn; SubDyn

Description from the FAST input file: MonopileOnly

Time      	TwrBsFxt  	TwrBsFyt  	TwrBsFzt  	TwrBsMxt  	TwrBsMyt  	TwrBsMzt  	PtfmSurge 	PtfmSway  	PtfmHeave 	PtfmRoll  	PtfmPitch 	PtfmYaw   	M1N1FKXe  	M1N1FKYe  	M1N1FKZe  	M1N1MKXe  	M1N1MKYe  	M1N1MKZe  	M2N1FKXe  	M2N1FKYe  	M2N1FKZe  	M2N1MKXe  	M2N1MKYe  	M2N1MKZe  	-ReactFXss	-ReactFYss	-ReactFZss	-ReactMXss	-ReactMYss	-ReactMZss
(s)       	(kN)      	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(kN-m)    	(m)       	(m)       	(m)       	(deg)     	(deg)     	(deg)     	(N)       	(N)       	(N)       	(N*m)     	(N*m)     	(N*m)     	(N)       	(N)       	(N)       	(N*m)     	(N*m)     	(N*m)     	(N)       	(N)       	(N)       	(Nm)      	(Nm)      	(Nm)      
    0.3800	-4.883E-08	-0.000E+00	-1.769E-07	 0.000E+00	-5.330E-08	 0.000E+00	-3.902E-01	 0.000E+00	-2.629E-03	 0.000E+00	-2.970E-01	 0.000E+00	-4.711E+06	-0.000E+00	-6.416E+06	-0.000E+00	-2.821E+08	-0.000E+00	-2.769E+06	-0.000E+00	-6.416E+06	-0.000E+00	-7.327E+07	-0.000E+00	-4.711E+06	-0.000E+00	-6.416E+06	-0.000E+00	 1.890E+08	-0.000E+00
    0.3900	-6.502E-08	-0.000E+00	-1.000E-07	 0.000E+00	-5.147E-08	 0.000E+00	-4.369E-01	 0.000E+00	-1.743E-03	 0.000E+00	-3.339E-01	 0.000E+00	-5.230E+06	-0.000E+00	-4.323E+06	-0.000E+00	-3.146E+08	-0.000E+00	-3.074E+06	-0.000E+00	-4.323E+06	-0.000E+00	-8.271E+07	-0.000E+00	-5.230E+06	-0.000E+00	-4.323E+06	-0.000E+00	 2.084E+08	-0.000E+00
    0.4000	-8.663E-08	-0.000E+00	-2.555E-08	 0.000E+00	-5.318E-08	 0.000E+00	-4.829E-01	 0.000E+00	-8.853E-04	 0.000E+00	-3.715E-01	 0.000E+00	-5.627E+06	-0.000E+00	-2.298E+06	-0.000E+00	-3.439E+08	-0.000E+00	-3.365E+06	-0.000E+00	-2.298E+06	-0.000E+00	-9.363E+07	-0.000E+00	-5.627E+06	-0.000E+00	-2.298E+06	-0.000E+00	 2.189E+08	-0.000E+00
    0.4100	-1.114E-07	-0.000E+00	-1.207E-08	 0.000E+00	-6.566E-08	 0.000E+00	-5.282E-01	 0.000E+00	-7.314E-04	 0.000E+00	-4.094E-01	 0.000E+00	-5.907E+06	-0.000E+00	-1.934E+06	-0.000E+00	-3.700E+08	-0.000E+00	-3.629E+06	-0.000E+00	-1.934E+06	-0.000E+00	-1.059E+08	-0.000E+00	-5.907E+06	-0.000E+00	-1.934E+06	-0.000E+00	 2.207E+08	-0.000E+00
    0.4200	-1.382E-07	-0.000E+00	-6.863E-08	 0.000E+00	-8.942E-08	 0.000E+00	-5.723E-01	 0.000E+00	-1.385E-03	 0.000E+00	-4.471E-01	 0.000E+00	-6.094E+06	-0.000E+00	-3.479E+06	-0.000E+00	-3.935E+08	-0.000E+00	-3.886E+06	-0.000E+00	-3.479E+06	-0.000E+00	-1.190E+08	-0.000E+00	-6.094E+06	-0.000E+00	-3.479E+06	-0.000E+00	 2.159E+08	-0.000E+00
    0.4300	-1.664E-07	-0.000E+00	-1.488E-07	 0.000E+00	-1.174E-07	 0.000E+00	-6.151E-01	 0.000E+00	-2.312E-03	 0.000E+00	-4.840E-01	 0.000E+00	-6.223E+06	-0.000E+00	-5.667E+06	-0.000E+00	-4.151E+08	-0.000E+00	-4.145E+06	-0.000E+00	-5.667E+06	-0.000E+00	-1.325E+08	-0.000E+00	-6.223E+06	-0.000E+00	-5.667E+06	-0.000E+00	 2.072E+08	-0.000E+00
    0.4400	-1.957E-07	-0.000E+00	-1.886E-07	 0.000E+00	-1.402E-07	 0.000E+00	-6.563E-01	 0.000E+00	-2.774E-03	 0.000E+00	-5.196E-01	 0.000E+00	-6.330E+06	-0.000E+00	-6.757E+06	-0.000E+00	-4.354E+08	-0.000E+00	-4.377E+06	-0.000E+00	-6.757E+06	-0.000E+00	-1.457E+08	-0.000E+00	-6.330E+06	-0.000E+00	-6.757E+06	-0.000E+00	 1.976E+08	-0.000E+00
    0.4500	-2.244E-07	-0.000E+00	-1.575E-07	 0.000E+00	-1.523E-07	 0.000E+00	-6.957E-01	 0.000E+00	-2.418E-03	 0.000E+00	-5.535E-01	 0.000E+00	-6.442E+06	-0.000E+00	-5.916E+06	-0.000E+00	-4.551E+08	-0.000E+00	-4.612E+06	-0.000E+00	-5.916E+06	-0.000E+00	-1.582E+08	-0.000E+00	-6.442E+06	-0.000E+00	-5.916E+06	-0.000E+00	 1.891E+08	-0.000E+00
    0.4600	-2.497E-07	-0.000E+00	-8.159E-08	 0.000E+00	-1.559E-07	 0.000E+00	-7.329E-01	 0.000E+00	-1.545E-03	 0.000E+00	-5.852E-01	 0.000E+00	-6.576E+06	-0.000E+00	-3.855E+06	-0.000E+00	-4.744E+08	-0.000E+00	-4.823E+06	-0.000E+00	-3.855E+06	-0.000E+00	-1.696E+08	-0.000E+00	-6.576E+06	-0.000E+00	-3.855E+06	-0.000E+00	 1.831E+08	-0.000E+00
    0.4700	-2.686E-07	-0.000E+00	-2.161E-08	 0.000E+00	-1.581E-07	 0.000E+00	-7.677E-01	 0.000E+00	-8.561E-04	 0.000E+00	-6.143E-01	 0.000E+00	-6.742E+06	-0.000E+00	-2.229E+06	-0.000E+00	-4.935E+08	-0.000E+00	-5.040E+06	-0.000E+00	-2.229E+06	-0.000E+00	-1.797E+08	-0.000E+00	-6.742E+06	-0.000E+00	-2.229E+06	-0.000E+00	 1.806E+08	-0.000E+00
    0.4800	-2.796E-07	-0.000E+00	-2.432E-08	 0.000E+00	-1.649E-07	 0.000E+00	-8.000E-01	 0.000E+00	-8.901E-04	 0.000E+00	-6.404E-01	 0.000E+00	-6.953E+06	-0.000E+00	-2.309E+06	-0.000E+00	-5.127E+08	-0.000E+00	-5.251E+06	-0.000E+00	-2.309E+06	-0.000E+00	-1.882E+08	-0.000E+00	-6.953E+06	-0.000E+00	-2.309E+06	-0.000E+00	 1.827E+08	-0.000E+00
